,Job Position,Company Name,Location,Company links
0,Data Scientist Analyst/ Manager,Fuld & Company,Greater Delhi Area (Hybrid),https://www.linkedin.com/company/fuld-&-company/
1,Associate Data Scientist,Uplers,India (Remote),https://www.linkedin.com/company/weareuplers/
2,Data Scientist,take2,India (Remote),https://www.linkedin.com/company/jointake2/
3,Part time work,Forever Living Products India,"Delhi, India (Remote)",https://www.linkedin.com/company/flpindia/
4,Recruiting Specialist,MNC Company,"New Delhi, Delhi, India (Remote)",https://www.linkedin.com/company/mnccompany3/
5,Recruiter,MFI Campaign ,India (Remote),https://www.linkedin.com/company/woman-empowerment/
6,Data Scientist Associate,Uplers,"Indore, Madhya Pradesh, India (Remote)",https://www.linkedin.com/company/turingcom/
7,Remote Python Data Scientist Jobs,Turing.com,India (Remote),https://www.linkedin.com/company/codvo/
8,Data Scientist,codvo.ai,"Hyderabad, Telangana, India (Remote)",https://www.linkedin.com/company/catenonindia/
9,Data Scientist,Catenon India,"Bengaluru, Karnataka, India (Remote)",https://www.linkedin.com/company/crossover-/
10,"Data Scientist, Totogi (Remote) - $60,000/year USD",Crossover for Work,"Bengaluru, Karnataka, India (Remote)",https://www.linkedin.com/company/cobblestone-energy/
11,"JUNIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Delhi, Delhi, India (On-site)",https://www.linkedin.com/company/influxx-services/
12,Data analyst or Data scientist ( 4+ yrs only ) @Delhi NCR,influxx services,"Delhi, India (On-site)",https://www.linkedin.com/company/united-airlines/
13,Data Scientist,United Airlines,"Gurugram, Haryana, India (Hybrid)",https://www.linkedin.com/company/hiredigitalco/
14,"Data Scientist (remote, freelance)",Hire Digital,"Delhi, Delhi, India (Remote)",https://www.linkedin.com/company/tata-consultancy-services/
15,Data Scientist,Tata Consultancy Services,"Hyderabad, Telangana, India (Remote)",https://www.linkedin.com/company/ocrolus/
16,Data Scientist,Ocrolus,"Gurgaon, Haryana, India (Remote)",https://www.linkedin.com/company/htc-global-services/
17,Data Scientist,HTC Global Services,India (Remote),https://www.linkedin.com/company/mcafee/
18,Data Scientist - Remote,McAfee,"Bengaluru, Karnataka, India (Remote)",https://www.linkedin.com/company/72-dragons-hk/
19,Data Scientist,72 Dragons,India (Remote),https://www.linkedin.com/company/icf-international/
20,Data Scientist - Energy Markets,ICF,"New Delhi, Delhi, India (Hybrid)",https://www.linkedin.com/company/kpmgindia/
21,Data Scientist,KPMG India,"Gurugram, Haryana, India (Hybrid)",https://www.linkedin.com/company/sterlite-technologies-ltd-/
22,Data Scientist,STL - Sterlite Technologies Limited,"Thane, Maharashtra, India (Remote)",https://www.linkedin.com/company/impetus/
23,Data Scientist,Impetus,"Delhi, India (On-site)",https://www.linkedin.com/company/google/
24,"Data Scientist, Business and Marketing",Google,"Gurgaon, Haryana, India (On-site)",https://www.linkedin.com/company/ces/
25,Data Scientist (Remote),CES,"Hyderabad, Telangana, India (Remote)",https://www.linkedin.com/company/dendrite-ai/
